check-migration-immutability: 685 sealed entries against a journal of 685 — 0 newly appended, 17 comment-only edit(s)

CHANGED after sealing — the statements differ, so a cold build and a warm database disagree:
  0232_repair_crm_activity_grants  effective 270e0f0ed266 -> f358c0b0cae9
  0233_deals_value_not_null  effective 68ac81de77fa -> 7eb40744aab9
  0240_party_expand_legacy_fields  effective 7404a6f0c323 -> 7e64dcdac2d8
  0241_party_legacy_backfill  effective af29bac4f9fd -> c310d647505e
  0244_party_mirror_divergence_permission  effective 71d35329947f -> a15e55580801
  0250_data_quality_queue  effective f3c04f6fd3e9 -> 0a9ce4e1f0c5
  0251_backfill_data_quality_permissions  effective 23a708f78c7a -> bb9dc2261a93
  0290_issue_records  effective cc6027203ad5 -> b8d08df26e96
  0260_party_identifiers  effective 20b4b3e2c79b -> 3ac300a934e6
  0280_importer_at_scale  effective a47427eec44b -> e9bdbf192bf4
  0275_party_company_search  effective a4a90951b2f0 -> 0f266831630f
  0471_platform_waitlist  effective 2f9401672629 -> 108a10345d8f
  0252_data_quality_health_snapshots  effective 6f1700146441 -> 6b8ce42ccd86
  0270_activities_thread_window  effective 3945a126d986 -> 6f50ef1e6c12
  0261_crm_connectors  effective fdfe525720ea -> 03c4e4e6a244
  0253_data_quality_health_snapshots_rls  effective 3749218f9e47 -> 9b3e9858cbba
  0486_hr_people_org_person_link  effective 4dbf81b8218a -> 705b8ef68089
  0281_crm_import_target_entity  effective fb6299bf9439 -> 7cf969f7a1a0
  0282_crm_import_rows_drop_party_columns  effective 8b820ae6105c -> 2f328afa9a73
  0575_ticket_list_sort_indexes  effective e24be5cd173a -> 78946a25cb2c
  0234_business_parties_name_order  effective a6098fb63ed6 -> 5d044704306f
  0262_party_company_columns  effective 665b6259881c -> a98ffa8c456b
  0263_crm_org_party_map  effective 471fa774a616 -> 3fb876f89dd7
  0264_crm_org_party_backfill  effective 024113862c49 -> ace04b003851
  0265_party_association_columns  effective 00b62da92013 -> a0c146da064f
  0266_party_association_backfill  effective 20fe2915a008 -> 831851606039
  0267_record_layout_adjustments  effective b394dc42ac1b -> 2c60da4a606f
  0268_backfill_record_layouts_permission  effective 867b61f181da -> ff3e0727c1aa
  0269_mailbox_push_secret  effective 7184bad702cd -> 4fff245edf51
  0271_crm_suppression_hashes_rls  effective 3dc6f391129f -> 23f766f252d3
  0272_quote_document_key  effective b1a6b2ae80fd -> 4fd54d2e2b03
  0590_reconcile_baseline_shape_drift  effective 3f725baf918f -> cae6e52c5917
  0624_inventory_sku_uniqueness_restored  effective f6e1b4b3df3f -> b44be2cf3e14
  0633_tenant_leading_indexes  effective 73ce2cc47417 -> 44d76e9b23e0
  0634_rbac_actor_and_module_integrity  effective bb2796853180 -> 748dcdc343ea
  0639_perf_reviews_cursor_indexes  effective 0377944f52b2 -> 19b73a896d96
  0640_helpdesk_search_and_cursor_indexes  effective c51c46a09640 -> a9724cdb6dcf
  0669_chain_creates_inv_compliance_documents  effective 901adad6e2c4 -> 2eeec7b3d27c
  0781_hr_safety_cases_candidate_search_fns  effective 27d90beac4fb -> 16ead09ca147
  0783_hr_cursor_indexes  effective 2c668a22ece6 -> 081321fee4b1
  0796_kb_actor_membership_companion  effective 2df3d32146ce -> d1310016c974
  0955_ar02_drop_hr_payroll_single_fks  effective 80016ddea14e -> 4d2f19b16715
  0978_ar02_organization_id_tenant_fks  effective 896d28a0ff57 -> e81959047f51
  0961_storage_file_quarantine  effective 4b9cd76482bb -> 16644f68f79f
  0942_storage_multipart_intents  effective 04d2f2dab35e -> 7995772da7a5
  0986_ar02_resolve_conflicting_actor_fks  effective afe67635d765 -> 8d47a3a84ff3
  0983_s12_gdpr_partial_export_status  effective f0191b10db61 -> 78f5b2b37682
  0992_set_null_referential_actions_repair  effective c889e0e3ca4f -> 521a65c6fee7
  0993_coupons_tenant_scoped_code_unique  effective b48dfffedbdc -> 31e2ac05fdba
  0994_s08_rls_for_unpoliced_inventory_tables  effective 3df2d3730611 -> d62e5b061527
  0995_s08_credit_note_tenant_foreign_keys  effective d589633dfbd8 -> 97ae5db7c8a8
  0996_s08_leading_tenant_indexes  effective 42bcd9255dd4 -> 86eed5aa9c11
  0997_s08_read_path_indexes  effective 5160ec88c5d2 -> 72ae2834db53
  0998_s08_drop_orphan_enum_types  effective 0a873623cce6 -> 9533fe87ff8d
  0999_s08_drop_redundant_indexes  effective 59bcb3bb0b21 -> 22820599bfbd
  1000_s08_plan_measured_indexes_and_kb_ann  effective 50e5344b264f -> 9c613970512d
  1001_s08_payroll_financial_immutability  effective 14cd16ab27d9 -> e1d471114bcf
  1002_s08_payroll_read_path_indexes  effective 576a18430336 -> 552c39780ebf
  1003_s08_residual_duplicate_keys  effective 997df62f426e -> 8692b33a4723
  1004_s08_payroll_lock_guard_org_purge  effective 7a3a51c9c097 -> 0a30dd78e14a
  1005_s08_feedbucket_modules_catalog_row  effective d10ea8ab0ebc -> 99d36209ee53
  1006_s09_drop_redundant_single_column_tenant_fks  effective 5751fee14b97 -> 12fdd441af89
  1007_s09_restore_measured_tenant_indexes  effective 2b620ec82cd7 -> c99bf6012c70
  1008_s09_hash_support_inbound_secrets  effective 260bd7a27dcb -> 584d575b2576
  1009_s09_inv_stock_transactions_single_column_fks  effective ef408d633402 -> 431faa2755f5
  1021_t29_kb_page_links_record_unique  effective 0c89e267b6bc -> ad323e573e9f
  1022_t29_mail_metadata_search_and_keyset  effective de1bef5f59bd -> cf461409fbda
  1030_t24_payroll_tds_ytd_immutability  effective da35374f3828 -> 2af04bda9190
  1023_t07b_billing_legacy_integer_id_columns  effective 875f85497b2c -> 650e9145362d
  1024_t07b_tenant_anchor_foreign_keys  effective 6b968df4fd90 -> 5efe15ca00e1
  1025_t07b_composite_self_reference_foreign_keys  effective f6bf121ced97 -> 736c3d09b70a
  1026_t07b_payroll_tds_ytd_ledger_run_foreign_key  effective c6ba30718942 -> f16f7d4b5fcc
  1040_t29_kb_membership_and_template_uniques  effective db98460c0e52 -> 0c2482f70f6c
  1027_t07b_dashboard_my_tasks_assignee_updated_index  effective a08940a5be9c -> fc6cdbfe147a
  1041_t22c_attendance_membership_history_index  effective ed711fd41ce5 -> bb4d5abb47a5
  1042_t29_kb_page_attachments  effective 89f14d030d69 -> 63dc1336b8d5
  1043_t08_nullable_tenant_composite_fk_guards  effective bc27e690bd46 -> 76c9cb0fafb5
  1044_t41_kb_page_attachments_rls  effective 92e9ed323ff6 -> 996eb5f76e2e
  1045_t44b_storage_pending_purge_bucket  effective 980dfc879881 -> 49a3461210a6
  1046_t15f_support_ticket_watchers_actor_contract  effective f02ca9b98373 -> 27237e99d858
  1047_t33_backfill_public_object_urls  effective 28fdf967fe89 -> 02c5cc263985
  1048_hr_people_org_person_link_unique  effective 348e066f9226 -> 00e49367d5a9
  1049_t08_payroll_bank_batch_item_natural_key  effective 657652f90385 -> 2699e380775f
  1050_t08_payroll_tds_ytd_run_in_natural_key  effective 245b7a9c1f1a -> 4f9acda4fd3f
  1051_t03_membership_removal_restrict_to_set_null  effective 8f89b89fa6aa -> 957f731a02f3
  1052_t07_roster_entries_natural_key  effective 4600cf99640a -> 30b52066b70c
  1053_t03_inv_user_warehouse_grant_cascade  effective 775347f88f20 -> 9df383044c8a
  1054_chat_presence_membership_unique_total  effective 5d356860ab61 -> 1d9ec13e2399
  1055_t02_affiliates_org_scoped_user_unique  effective 8c0f6a7c8067 -> 8540ac05d78d
  1056_drop_duplicate_single_column_fks  effective b6d91a9982c6 -> e5d093fe607e
  1057_calendar_connection_org_resolver  effective 673d72a5af62 -> 31a4ba38eea9
  1058_chat_read_path_indexes  effective 70308091d19c -> 20917b3df8e6
